iter	Passed	Remaining
0	2	226
1	4	210
2	6	210
3	7	185
4	10	192
5	12	195
6	14	193
7	16	188
8	18	185
9	21	191
10	24	199
11	27	200
12	28	192
13	30	187
14	32	185
15	34	180
16	36	175
17	38	175
18	40	172
19	42	168
20	44	167
21	45	163
22	47	159
23	49	156
24	52	156
25	54	153
26	56	153
27	58	150
28	59	146
29	62	145
30	63	142
31	65	139
32	67	137
33	69	134
34	70	130
35	71	127
36	73	125
37	75	122
38	76	119
39	77	116
40	79	114
41	80	110
42	81	107
43	82	104
44	83	102
45	84	99
46	86	97
47	87	94
48	88	92
49	89	89
50	91	88
51	93	86
52	94	83
53	95	81
54	96	79
55	98	77
56	99	75
57	100	73
58	102	71
59	104	69
60	105	67
61	106	65
62	107	63
63	109	61
64	111	59
65	112	57
66	113	55
67	114	54
68	116	52
69	117	50
70	118	48
71	119	46
72	121	44
73	122	43
74	123	41
75	125	39
76	126	37
77	128	36
78	130	34
79	132	33
80	134	31
81	136	29
82	138	28
83	142	27
84	145	25
85	147	24
86	149	22
87	151	20
88	153	18
89	155	17
90	157	15
91	159	13
92	161	12
93	163	10
94	165	8
95	167	6
96	168	5
97	170	3
98	173	1
99	175	0
